Year,Month,CO2,t
1988,1,348.1,1
1988,2,348.54,2
1988,3,349.4,3
1988,4,349.7,4
1988,5,349.65,5
1988,6,349.8,6
1988,7,349.9,7
1988,8,350.38,8
1988,9,351.05,9
1988,10,350.96,10
1988,11,350.64,11
1988,12,350.29,12
1989,1,349.84,13
1989,2,349.88,14
1989,3,350.19,15
1989,4,350.3,16
1989,5,350.37,17
1989,6,351.14,18
1989,7,352.2,19
1989,8,352.5,20
1989,9,352.29,21
1989,10,352.15,22
1989,11,351.98,23
1989,12,351.66,24
1990,1,350.81,25
1990,2,350.38,26
1990,3,350.9,27
1990,4,351.35,28
1990,5,351.68,29
1990,6,352.03,30
1990,7,352.58,31
1990,8,353.28,32
1990,9,353.48,33
1990,10,353.26,34
1990,11,353.11,35
1990,12,352.83,36
1991,1,352.44,37
1991,2,352.36,38
1991,3,352.46,39
1991,4,352.71,40
1991,5,353.01,41
1991,6,353.31,42
1991,7,353.74,43
1991,8,354.08,44
1991,9,354.31,45
1991,10,354.35,46
1991,11,354.28,47
1991,12,353.91,48
1992,1,353.32,49
1992,2,353.16,50
1992,3,353.33,51
1992,4,353.67,52
1992,5,354.02,53
1992,6,354.42,54
1992,7,354.91,55
1992,8,355.23,56
1992,9,355.53,57
1992,10,355.67,58
1992,11,355.33,59
1992,12,354.91,60
1993,1,354.52,61
1993,2,354.19,62
1993,3,354.31,63
1993,4,354.74,64
1993,5,354.95,65
1993,6,355.01,66
1993,7,355.42,67
1993,8,356.08,68
1993,9,356.42,69
1993,10,356.47,70
1993,11,356.42,71
1993,12,356.11,72
1994,1,355.59,73
1994,2,355.57,74
1994,3,355.81,75
1994,4,356.02,76
1994,5,356.18,77
1994,6,356.11,78
1994,7,356.3,79
1994,8,357.03,80
1994,9,357.51,81
1994,10,357.64,82
1994,11,357.53,83
1994,12,357.08,84
1995,1,356.79,85
1995,2,356.92,86
1995,3,357.15,87
1995,4,357.63,88
1995,5,358.19,89
1995,6,358.28,90
1995,7,358.43,91
1995,8,359.02,92
1995,9,359.49,93
1995,10,359.68,94
1995,11,359.54,95
1995,12,358.99,96
1996,1,358.51,97
1996,2,358.67,98
1996,3,358.92,99
1996,4,359.15,100
1996,5,359.5,101
1996,6,359.7,102
1996,7,360.07,103
1996,8,360.62,104
1996,9,360.9,105
1996,10,360.97,106
1996,11,360.77,107
1996,12,360.32,108
1997,1,360.09,109
1997,2,359.97,110
1997,3,360.07,111
1997,4,360.71,112
1997,5,361,113
1997,6,361.14,114
1997,7,361.68,115
1997,8,362.01,116
1997,9,362.15,117
1997,10,362.24,118
1997,11,362.16,119
1997,12,362.12,120
1998,1,362.08,121
1998,2,361.98,122
1998,3,362.25,123
1998,4,362.8,124
1998,5,363.21,125
1998,6,363.83,126
1998,7,364.41,127
1998,8,364.79,128
1998,9,365.12,129
1998,10,365.16,130
1998,11,365.08,131
1998,12,364.93,132
1999,1,364.77,133
1999,2,364.74,134
1999,3,364.84,135
1999,4,365.15,136
1999,5,365.55,137
1999,6,365.79,138
1999,7,366.02,139
1999,8,366.34,140
1999,9,366.68,141
1999,10,366.91,142
1999,11,366.85,143
1999,12,366.47,144
2000,1,366.04,145
2000,2,366.03,146
2000,3,366.25,147
2000,4,366.4,148
2000,5,366.64,149
2000,6,366.89,150
2000,7,367.24,151
2000,8,367.67,152
2000,9,367.79,153
2000,10,367.8,154
2000,11,367.74,155
2000,12,367.53,156
2001,1,367.25,157
2001,2,367.14,158
2001,3,367.3,159
2001,4,367.78,160
2001,5,368.23,161
2001,6,368.39,162
2001,7,368.81,163
2001,8,369.44,164
2001,9,369.77,165
2001,10,370.03,166
2001,11,370.04,167
2001,12,369.69,168
2002,1,369.35,169
2002,2,369.23,170
2002,3,369.38,171
2002,4,369.79,172
2002,5,370.19,173
2002,6,370.58,174
2002,7,371.16,175
2002,8,371.68,176
2002,9,372.04,177
2002,10,372.15,178
2002,11,371.98,179
2002,12,371.71,180
2003,1,371.75,181
2003,2,371.92,182
2003,3,371.95,183
2003,4,372.2,184
2003,5,372.71,185
2003,6,373.13,186
2003,7,373.52,187
2003,8,373.98,188
2003,9,374.23,189
2003,10,374.19,190
2003,11,374.13,191
2003,12,373.93,192
2004,1,373.64,193
2004,2,373.62,194
2004,3,373.83,195
2004,4,374.11,196
2004,5,374.42,197
2004,6,374.88,198
2004,7,375.34,199
2004,8,375.85,200
2004,9,376.3,201
2004,10,376.41,202
2004,11,376.17,203
2004,12,375.62,204
2005,1,375.22,205
2005,2,375.16,206
2005,3,375.4,207
2005,4,375.82,208
2005,5,376.34,209
2005,6,377.04,210
2005,7,377.56,211
2005,8,377.94,212
2005,9,378.17,213
2005,10,378.12,214
2005,11,378.06,215
2005,12,377.77,216
2006,1,377.26,217
2006,2,377.38,218
2006,3,377.82,219
2006,4,378.04,220
2006,5,378.29,221
2006,6,378.66,222
2006,7,379,223
2006,8,379.4,224
2006,9,379.62,225
2006,10,379.72,226
2006,11,379.61,227
2006,12,379.25,228
2007,1,379.03,229
2007,2,379.08,230
2007,3,379.31,231
2007,4,379.82,232
2007,5,380.29,233
2007,6,380.61,234
2007,7,381.02,235
2007,8,381.53,236
2007,9,381.88,237
2007,10,382.01,238
2007,11,381.91,239
2007,12,381.69,240
2008,1,381.46,241
2008,2,381.46,242
2008,3,381.79,243
2008,4,382.03,244
2008,5,382.16,245
2008,6,382.55,246
2008,7,383.09,247
2008,8,383.52,248
2008,9,383.97,249
2008,10,384.06,250
2008,11,383.66,251
2008,12,383.33,252
2009,1,383.23,253
2009,2,383.22,254
2009,3,383.31,255
2009,4,383.46,256
2009,5,383.71,257
2009,6,384.01,258
2009,7,384.38,259
2009,8,384.8,260
2009,9,385.19,261
2009,10,385.4,262
2009,11,385.23,263
2009,12,384.94,264
2010,1,384.62,265
2010,2,384.38,266
2010,3,384.54,267
2010,4,384.88,268
2010,5,385.37,269
2010,6,385.92,270
2010,7,386.52,271
2010,8,387.33,272
2010,9,387.69,273
2010,10,387.61,274
2010,11,387.53,275
2010,12,387.01,276
2011,1,386.53,277
2011,2,386.6,278
2011,3,386.73,279
2011,4,386.97,280
2011,5,387.41,281
2011,6,387.76,282
2011,7,388.2,283
2011,8,388.81,284
2011,9,389.05,285
2011,10,389.19,286
2011,11,389.2,287
2011,12,388.8,288
2012,1,388.49,289
2012,2,388.55,290
2012,3,388.7,291
2012,4,389.09,292
2012,5,389.44,293
2012,6,389.85,294
2012,7,390.75,295
2012,8,391.3,296
2012,9,391.44,297
2012,10,391.55,298
2012,11,391.42,299
2012,12,391.12,300
2013,1,390.99,301
2013,2,390.99,302
2013,3,391.29,303
2013,4,392.04,304
2013,5,392.43,305
2013,6,392.61,306
2013,7,393.22,307
2013,8,393.81,308
2013,9,394.09,309
2013,10,394.19,310
2013,11,394.18,311
2013,12,393.95,312
2014,1,393.43,313
2014,2,393.14,314
2014,3,393.33,315
2014,4,393.92,316
2014,5,394.37,317
2014,6,394.62,318
2014,7,395.12,319
2014,8,395.66,320
2014,9,395.99,321
2014,10,396.02,322
2014,11,395.9,323
2014,12,395.62,324
2015,1,395.4,325
2015,2,395.51,326
2015,3,395.79,327
2015,4,396.21,328
2015,5,396.69,329
2015,6,397.14,330
2015,7,397.63,331
2015,8,398.25,332
2015,9,398.66,333
2015,10,398.64,334
2015,11,398.61,335
2015,12,398.57,336
2016,1,398.29,337
2016,2,398.16,338
2016,3,398.55,339
2016,4,399.25,340
2016,5,400.1,341
2016,6,400.74,342
2016,7,401.06,343
2016,8,401.49,344
2016,9,401.99,345
2016,10,401.82,346
2016,11,401.38,347
2016,12,401.03,348
